				Classification 1 - General Classification			Classification 2 - Taxonomic					Classification 3 - Parts of Organism			Classification 4 - Treatment						
			Coverage of type	1390	1297	4188	278	192	73	171	544	2455	1710	219	238	51	85	67			
			Percent Total	20.22%	18.87%	60.92%	22.10%	15.26%	5.80%	13.59%	43.24%	43.51%	30.31%	3.88%	53.97%	11.56%	19.27%	15.19%			
			Total Abundance	710209	27158	230673	556652	49715	1072	41127	55914	107654	123150	6163	7186	977	939	634			
			Percent Total	73.37%	2.81%	23.83%	79.02%	7.06%	0.15%	5.84%	7.94%	45.43%	51.97%	2.60%	73.81%	10.03%	9.64%	6.51%			
	Material	Number of occurrences	Proportion of all materials	Genotype	Phenotype	Organism Part	Animals	Plants	Virus	Fungus	Bacteria	Tissue	Organ	Molecule	Chemical Exposure	Illness	Stress	Genetic Modification			25 UNIQUE GROUPS
kras mutation	y	5	0.00%		1													1	0100000000000010		0100000000000010
methotrexate sensitivity	resistant	36	0.00%		1													1	0100000000000010		0100000000000000
methotrexate sensitivity	sensitive	36	0.00%		1													1	0100000000000010		1000000000000000
geneticmodifications	control	3	0.00%		1													1	0100000000000010		1001000000000000
geneticmodifications	transfection	3	0.00%		1													1	0100000000000010		0100000000000100
crossbred pigs	landrace/yorkshire/duroc	2	0.00%		1													1	0100000000000010		0010000001000000
route	icv	8	0.00%		1														0100000000000000		1000001000000000
route	i.p. injection	264	0.02%		1														0100000000000000		0000000000000010
route	sq	8	0.00%		1														0100000000000000		1000000100000000
route	icvn	4	0.00%		1														0100000000000000		0010000000000000
route	baseline	6	0.00%		1														0100000000000000		1000010000000000
route	i.p.	138	0.01%		1														0100000000000000		0100000000010000
route	gavage	280	0.02%		1														0100000000000000		0100000000110000
node positive	yes	71	0.01%		1														0100000000000000		0010000010000000
node positive	no	59	0.00%		1														0100000000000000		0100000001000000
facial dysmorphism	present	28	0.00%		1														0100000000000000		0100000001100000
facial dysmorphism	absent	26	0.00%		1														0100000000000000		0100000001000010
electroacupuncture frequency	2hz	29	0.00%		1														0100000000000000		0100000001010000
electroacupuncture frequency	100hz	30	0.00%		1														0100000000000000		0000000000100000
taxname	bacteroides fragilis nctc 9343	15	0.00%	1															1000000000000000		1000100000000000
culture media	moderately hard reconstituted water	12	0.00%		1														0100000000000000		1000100100000000
culture media	ts	18	0.00%		1														0100000000000000		1001000100000000
culture media	es	9	0.00%		1														0100000000000000		1000101000000000
environment condition	nitrogen poor	16	0.00%		1														0100000000000000		0000000000001000
environment condition	nitrogen rich	16	0.00%		1														0100000000000000		
invasion	yes	190	0.02%		1														0100000000000000		
invasion	definite but focal	15	0.00%		1														0100000000000000		
invasion	na	14	0.00%		1														0100000000000000		
invasion	no	13	0.00%		1														0100000000000000		
invasion	definite	65	0.01%		1														0100000000000000		
invasion	negative	2	0.00%		1														0100000000000000		
invasion	not obvious	8	0.00%		1														0100000000000000		
stimulus	lps	16	0.00%		1														0100000000000000		
stimulus	lps (1ng/ml) + il10 (0.3 ng/ml)	4	0.00%		1														0100000000000000		
stimulus	none	4	0.00%		1														0100000000000000		
stimulus	lps (1ng/ml)	4	0.00%		1														0100000000000000		
stimulus	no lps	12	0.00%		1														0100000000000000		
photoperiod	long day	6	0.00%		1														0100000000000000		
photoperiod	short day	6	0.00%		1														0100000000000000		
food source	yeast paste	6	0.00%		1														0100000000000000		
medication use	yes	161	0.01%		1														0100000000000000		
medication use	no	120	0.01%		1														0100000000000000		
isolate sensitivity	resistant isoniazid + ethambu	10	0.00%		1														0100000000000000		
isolate sensitivity	n.a	206	0.02%		1														0100000000000000		
isolate sensitivity	"resistant streptomycin, ethio"	10	0.00%		1														0100000000000000		
isolate sensitivity	resistant streptomycin	4	0.00%		1														0100000000000000		
isolate sensitivity	fully sensitive	106	0.01%		1														0100000000000000		
isolate sensitivity	resistant pyrazinamide	2	0.00%		1														0100000000000000		
isolate sensitivity	resistant isoniazid	8	0.00%		1														0100000000000000		
potency	pluripotent	58	0.00%		1														0100000000000000		
potency	multipotent	6	0.00%		1														0100000000000000		
potency	unipotent	17	0.00%		1														0100000000000000		
humidity	30 70%	20	0.00%		1														0100000000000000		
humidity	98.2% relative humidity (desiccated groups)	16	0.00%		1														0100000000000000		
humidity	100% relative humidity	16	0.00%		1														0100000000000000		
behavior	virgin queen	7	0.00%		1														0100000000000000		
behavior	mated	8	0.00%		1														0100000000000000		
behavior	naturally mated	4	0.00%		1														0100000000000000		
behavior	sterile worker	7	0.00%		1														0100000000000000		
behavior	comb builder	14	0.00%		1														0100000000000000		
behavior	forager	12	0.00%		1														0100000000000000		
behavior	v+	14	0.00%		1														0100000000000000		
behavior	high responding individual	12	0.00%		1														0100000000000000		
behavior	undertaker	10	0.00%		1														0100000000000000		
behavior	saline mated	4	0.00%		1														0100000000000000		
behavior	v	14	0.00%		1														0100000000000000		
behavior	nurse	12	0.00%		1														0100000000000000		
behavior	guard	12	0.00%		1														0100000000000000		
behavior	low responding individual	12	0.00%		1														0100000000000000		
behavior	semen mated	4	0.00%		1														0100000000000000		
behavior	virgin	12	0.00%		1														0100000000000000		
behavior	laying	8	0.00%		1														0100000000000000		
behavior	reproductive worker	7	0.00%		1														0100000000000000		
geneticvariation	ems mutant	6	0.00%		1													1	0100000000000010		
geneticvariation	single mutants created by ems mutagenesis. triple mutant by crossing double mutants together.	2	0.00%		1													1	0100000000000010		
geneticvariation	t dna insert	6	0.00%		1													1	0100000000000010		
methylation	nd	8	0.00%		1													1	0100000000000010		
methylation	unmethylated	7	0.00%		1													1	0100000000000010		
methylation	methylated	6	0.00%		1													1	0100000000000010		
organism	homo sapiens	67	0.01%	1			1												1001000000000000		
wounded	yes	3	0.00%		1														0100000000000000		
wounded	no	18	0.00%		1														0100000000000000		
exposed stress	normal	50	0.00%		1												1		0100000000000100		
exposed stress	hydrogen peroxide	28	0.00%		1												1		0100000000000100		
exposed stress	nacl	30	0.00%		1												1		0100000000000100		
