Process Name	Number of occurrences	C0:Artifact introduction to Material	C0:Material-Material	C1:On Material	C1:On Data	C2:Material Treatment	C2:Genetic Modification	C2:Material Growth	C2:Material Combination	C2:Material collection	C2:Material Separation	C2:Material Amplication	C2:Labeling	C5:Data Acquisition	C5:Data Transformation	C6:Material-Data	C6:Data-Data
labeling	390811		1	1									1				
nucleic acid extraction	350267		1	1							1						
hybridization	345671		1	1					1								
feature extraction	267044				1									1			1
bioassay data transformation	176347				1										1		1
grow	116194		1	1				1									
pool	68004		1	1					1								
image acquisition	52322				1									1		1	
behavioral stimulus	17556	1		1		1											
purify	7030		1	1							1						
pcr amplification	6297		1	1								1					
normalization	6324				1										1		1
lowess group normalization	5772				1										1		1
extraction	5546				1										1		
scanning	5437				1									1		1	
feature extraction and analysis	4736				1										1		1
immunoprecipitation	3179		1	1							1						
treatment	2109	1		1		1											
transformation protocol	1690				1										1		1
linear amplification	1367		1	1								1					
dissection	1339		1	1							1						
loess group normalization	1302				1										1		1
loess scaled group normalization	1240				1										1		1
median log normalization	988				1										1		1
reverse transcription	962		1	1								1					
harvest	879		1	1						1							
transformation protocol series	790	1		1			1										
split	458		1	1							1						
inoculate	330		1	1		1											
image acqusition	300				1									1		1	
rna extraction	294		1	1							1						
stress induction	294	1		1		1											
irradiate	261	1		1		1											
incubate	253	1		1		1											
quantification	168				1									1			1
fractionate	167		1	1							1						
normalisation	152				1										1		1
biological fluid collection	138		1	1						1							
replicate analysis	132				1										1		1
infect	131	1		1		1											
sampling	83		1	1						1							
compound based treatment	81	1		1		1											
genetic modification	76	1		1			1										
lowess normalization	72				1										1		1
starvation	67	1		1		1											
transfect	52	1		1			1										
differential expression	48				1										1		1
cell purification	42		1	1							1						
intervention	34	1		1		1											
bioassay data normalization	87				1										1		1
pool preparation	32		1	1					1								
cell isolation	32		1	1							1						
biopsy	28		1	1								1					
normalization check	24				1										1		1
treatment check	24	1		1		1											
normalization by scaling	13				1										1		1
cell subpopulation isolation	8		1	1							1						
transfection	8	1		1		1											
total bacteria rna extraction	7		1	1							1						
knock down	6	1		1			1										
mrna extraction	6		1	1							1						
extract	4		1	1							1						
dye swap merge	4				1										1		1
"cell isolation, sort"	4		1	1							1						
