				C0 - Input/Outputs				C1		Classification 2 - Material modification		Classification 3 - Material acquisition			Classification 4 - Material  processing			Classification 5 - Data Processing	
	Total Occurrences	1845123	Type count	15	29	3	18	43	22	12	3	1	2	3	15	6	1	5	18
			Type %	23.08%	44.62%	4.62%	27.69%	66.15%	33.85%	80.00%	20.00%	16.67%	33.33%	50.00%	68.18%	27.27%	4.55%	21.74%	78.26%
			Occurrence count					1315669	528062	21148	918	116488	68036	1100	362831	9616	390811	325271	204781
			Total group %					71.36%	28.64%	95.84%	0.49%	62.75%	36.65%	0.59%	47.54%	1.26%	51.20%	61.37%	38.63%
			Total all %					39.34%	15.79%	0.63%	0.03%	3.48%	2.03%	0.03%	10.85%	0.29%	11.68%	9.72%	6.12%
Process Name	Comment PRS	Number of occurrences	Proportion of total	C0:Artifact introduction to Material	C0:Material-Material	C0:Material-Data	C0:Data-Data	C1:Material Processes	C1:Data Processes	Material Treatment	Genetic Modification	Material Growth	Material Combination	Material collection	Material Separation	Material Amplication	Labeling	Data Acquisition	Data Transformation
labeling	labeling	390811	21.181%		1			1									1		
nucleic acid extraction	material separation	349887	18.963%		1			1							1				
hybridization	same as hybridisation	345671	18.734%		1			1											
feature extraction	data acquisition	267044	14.473%				1		1									1	
bioassay data transformation	data transformation	176347	9.557%				1		1										1
grow	material growth	116194	6.297%		1			1				1							
pool	material combination	68004	3.686%		1			1					1						
image acquisition	data acquisition	52322	2.836%			1			1									1	
behavioral stimulus	treatment	17556	0.951%	1				1		1									
purify	material separation	7030	0.381%		1			1							1				
pcr amplification	material amplication	6297	0.341%		1			1								1			
normalization	data transformation	6324	0.343%				1		1										1
lowess group normalization	data transformation	5772	0.313%				1		1										1
extraction	data transformation	5546	0.301%		1				1										1
scanning	data acquisition	5437	0.295%			1			1									1	
feature extraction and analysis	data transformation	4736	0.257%				1		1										1
immunoprecipitation	material separation	3179	0.172%		1			1							1				
treatment	treatment	2109	0.114%	1				1		1					1				
transformation protocol	data transformation	1690	0.092%				1		1										1
linear amplification	material amplication	1367	0.074%		1			1								1			
dissection	material separation	1339	0.073%		1			1							1				
loess group normalization	data transformation	1302	0.071%				1		1										1
loess scaled group normalization	data transformation	1240	0.067%				1		1										1
median log normalization	data transformation	988	0.054%				1		1										1
reverse transcription	material amplication	962	0.052%		1			1								1			
harvest	material collection	879	0.048%		1			1						1		1			
transformation protocol series	genetic modification	790	0.043%	1				1			1								
split	material separation	458	0.025%		1			1							1				
nucelic acid extraction	material separation	380	0.021%		1			1							1				
inoculate	material administration	330	0.018%		1			1		1									
image acqusition	data acquisition (same as image acquisition)	300	0.016%			1			1									1	1
rna extraction	material separation	294	0.016%		1			1							1				
stress induction	treatment	294	0.016%	1				1		1									
irradiate	treatment	261	0.014%	1				1		1									
incubate	treatment	253	0.014%	1				1		1									
quantification	data acquisition	168	0.009%				1		1									1	
fractionate	material separation	167	0.009%		1			1							1				
normalisation	data transformation	152	0.008%				1		1										1
biological fluid collection	material collection	138	0.007%		1			1						1					
replicate analysis	data transformation	132	0.007%				1		1										1
infect	treatment	131	0.007%	1				1		1									
sampling	material collection	83	0.004%		1			1						1		1			
compound based treatment	treatment	81	0.004%	1				1		1									
genetic modification	genetic modification	76	0.004%	1				1			1								
lowess normalization	data transformation	72	0.004%				1		1										1
starvation	treatment	67	0.004%	1				1		1									
transfect	genetic modification	52	0.003%	1				1			1								
differential expression	data transformation	48	0.003%				1		1										1
cell purification	material separation	42	0.002%		1			1							1				
intervention	treatment	34	0.002%	1				1		1									
bioassay data normalization	data transformation	87	0.005%				1		1										1
pool preparation	material combination	32	0.002%		1			1					1						
cell isolation	material separation	32	0.002%		1			1							1				
biopsy	material collection	28	0.002%		1			1								1			
normalization check	data transformation	24	0.001%				1		1										1
treatment check	treatment	24	0.001%	1				1		1									
normalization by scaling	data transformation	13	0.001%				1		1										1
cell subpopulation isolation	material separation	8	0.000%		1			1							1				
transfection	material administration	8	0.000%	1				1		1									
total bacteria rna extraction	material separation	7	0.000%		1			1							1				
knock down	genetic modification	6	0.000%	1				1											
mrna extraction	material separation	6	0.000%		1			1											
extract	material separation	4	0.000%		1			1							1				
dye swap merge	data transformation	4	0.000%				1		1										1
"cell isolation, sort"	material collection	4	0.000%		1			1							1				
