				Classification 1					Classification 2						Classification 3					Classification 4 - Ontology leveraged		
Type	Material	Number of occurrences		Subcellular	Cellular	Multicellular	Other		Archae	Bacteria	Eukaryotes	Subcellular Component	Organ		Single Cell Organisms	Multi-cellular Organisms	Organism Parts	Molecules				
biomaterial	fresh frozen tissue	55																				
biomaterial	organism part	31																				
biomaterial	saccharomyces cerevisiae bqs252. exponential growth in ypd.	30																				
biomaterial	pool of 10 different cellines	29																				
biomaterial	pool of male dna derived from blood	26																				
biomaterial	cultured cells	20																				
biomaterial	saccharomyces cerevisiae scr101 prap1. exponential growth in ypd.	18																				
biomaterial	total genomic dna from fy1679 yeast strain	15																				
biomaterial	saccharomyces cerevisiae y01089 (euroscarf) tpk2 mutant. exponential growth in ypd.	12																				
biomaterial	saccharomyces cerevisiae scr101 prap1 sil. exponential growth in ypd.	12																				
biomaterial	"sjy6 yeast strain, exponential growth in ypd."	12																				
biomaterial	saccharomyces cerevisiae bqs252. 2h after the change to ypgal medium.	12																				
biomaterial	"sjy6 yeast strain,7 h after adding doxycycline to exponential growing cells in ypd in order to deplete spt16p."	12																				
biomaterial	saccharomyces cerevisiae bqs252. exponential growth 14.5 h after the change to ypgal medium.	12																				
biomaterial	"sjy6 yeast strain,5 h after adding doxycycline to exponential growing cells in ypd in order to deplete spt16p."	12																				
biomaterial	cfmnpv viral genomic dna	11																				
biomaterial	cf203 insect cells infected with cfmnpv	11																				
biomaterial	saccharomyces cerevisiae y01261 (euroscarf) tpk1 mutant. exponential growth in ypd	8																				
biomaterial	saccharomyces cerevisiae bqs252. exponential growth in ypd	6																				
biomaterial	saccharomyces cerevisiae scr101 prap1sil. exponential growth in ypd.	6																				
biomaterial	saccharomyces cerevisiae arg1 (rpb1 myc). exponential growth in ypd	6																				
biomaterial	saccharomyces cerevisiae sjy25 (spt16 myc). exponential growth in ypd	6																				
biomaterial	in vitro genomic dna labelling with 33p in a yeast strain exponentially growing in ypd	6																				
biomaterial	in vitro genomic dna labeled with 33p in a yeast strain exponentially growing in ypd	4																				
biomaterial	in vivo labeled total rna of saccharomyces cerevisiae y01261 (euroscarf) tpk1 mutant. exponential growth in ypd	4																				
fungus	aspergillus niger	3																				
fungus	stenocarpella maydis	3																				
fungus	aspergillus clavatus	3																				
fungus	fusarium verticillioides	3																				
fungus	fusarium equiseti	3																				
fungus	bipolaris sorokiniana	3																				
fungus	fusarium acuminatum	3																				
fungus	aspergillus versicolor	3																				
fungus	penicillium corylophilum	3																				
fungus	penicillium islandicum	3																				
fungus	claviceps purpurea	3																				
fungus	penicillium expansum	3																				
fungus	fusarium oxysporum	3																				
fungus	fusarium semitectum	3																				
fungus	fusarium compactum	3																				
fungus	fusarium subglutinans	3																				
fungus	fusarium avenaceum	3																				
fungus	fusarium sporotrichioides	3																				
fungus	fusarium anthophilum	3																				
fungus	eurotium amstelodami	3																				
fungus	drechslera	3																				
fungus	aspergillus multicolor	3																				
fungus	aspergillus carbonarius	3																				
fungus	eurotium chevalieri	3																				
fungus	penicillium italicum	3																				
fungus	fusarium sambucinum	3																				
fungus	fusarium crookwellense	3																				
fungus	fusarium graminearum	3																				
fungus	aspergillus parasiticus	3																				
fungus	fusarium rugulosum	3																				
fungus	fusarium globosum	3																				
fungus	fusarium decemcellulare	3																				
fungus	penicillium fellutanum	3																				
fungus	penicillium rugulosum	3																				
