Process Name	Number of occurrences
labeling	390811
nucleic acid extraction	349887
hybridization	345671
feature extraction	267044
bioassay data transformation	175739
grow	116194
pool	68004
image acquisition	52322
behavioral stimulus	17556
purify	7030
pcr amplification	6297
normalization	6187
lowess group normalization	5772
extraction	5546
scanning	5437
feature extraction and analysis	4736
immunoprecipitation	3179
treatment	2109
transformation protocol	1690
linear amplification	1367
dissection	1339
loess group normalization	1302
loess scaled group normalization	1240
median log normalization	988
reverse transcription	962
harvest	879
transformation protocol series	790
acclimatization	470
split	458
bioassay data trasformation	432
nucelic acid extraction	380
store	349
inoculate	330
image acqusition	300
rna extraction	294
stress induction	294
cultivation of s. meliloti strain 2011	294
irradiate	261
incubate	253
sequencing	189
quantification	168
fractionate	167
data transformation	165
adjustment	152
normalisation	152
biological fluid collection	138
quantile normalization protocol type	137
replicate analysis	132
infect	131
wash	105
sampling	83
compound based treatment	81
genetic modification	76
lowess normalization	72
starvation	67
across bioassay data set function	55
transfect	52
differential expression	48
cell purification	42
intervention	34
bioassay data normalization	32
pool preparation	32
cell isolation	32
biopsy	28
normalization check	24
treatment check	24
bioasssay data transformation	15
normalization by scaling	13
cell subpopulation isolation	8
transfection	8
total bacteria rna extraction	7
knock down	6
mrna extraction	6
extract	4
dye swap merge	4
"cell isolation, sort"	4
